Pickup Report,PUR/20260814/INMUN/001
Delivery Order,DO-2026-08-4471
Load Port,Mundra (INMUN)
Valid From,2026-08-14,Valid To,2026-08-20

Sr No,Container No,Chassis No,Make,Model,Variant,Colour,Position,Booking Ref,Destination
1,OOLU2656042,MA3DY4XX5SM004431,Maruti Suzuki,Baleno,Alpha,Pearl Arctic White,1,BK249715,CLVAP
2,OOLU2656042,MATVXBAFXSG500805,Tata Motors,Punch,Creative,Pearl Arctic White,2,BK249715,CLVAP
3,OOLU2656042,MA3RWNPT2SM730522,Maruti Suzuki,Dzire,VXI,Magma Grey,3,BK249715,CLVAP
4,OOLU2656042,MA36CY961SC255889,Maruti Suzuki,Dzire,VXI,Nexa Blue,4,BK249715,CLVAP
5,MSKU9913027,MA1YEDRR9SC299363,Mahindra,XUV 3XO,AX7L,Pearl Arctic White,1,BK242288,CLVAP
6,MSKU9913027,MA3VGAGJ8SM671690,Maruti Suzuki,Swift,ZXI Plus,Fire Red,2,BK242288,CLVAP
7,MSKU9913027,MALWXRZ79SM990018,Hyundai,Creta,SX(O),Magma Grey,3,BK242288,CLVAP
8,MSKU9913027,MA3WK1MK4SG139190,Maruti Suzuki,Swift,ZXI Plus,Nexa Blue,4,BK242288,CLVAP
9,OOLU0515390,MALXLEF23SG027017,Hyundai,Creta,SX(O),Midnight Black,1,BK248999,MXVER
10,OOLU0515390,MA3G81EA3SB725899,Maruti Suzuki,Swift,ZXI Plus,Fire Red,2,BK248999,MXVER
11,OOLU0515390,MA3A04CJ6SC153352,Maruti Suzuki,Dzire,VXI,Fire Red,3,BK248999,MXVER
12,OOLU0515390,MALLERVX2SA865880,Hyundai,Creta,SX(O),Silky Silver,4,BK248999,MXVER
13,OOLU3581143,MA3J487H7SB793675,Maruti Suzuki,Baleno,Alpha,Nexa Blue,1,BK246442,CLVAP
14,OOLU3581143,MA1J59MYXSM665998,Mahindra,XUV 3XO,AX7L,Magma Grey,2,BK246442,CLVAP
15,OOLU3581143,MA1KPUAW2SM601961,Mahindra,XUV 3XO,AX7L,Magma Grey,3,BK246442,CLVAP
16,OOLU3581143,MATTMN3B3SA535717,Tata Motors,Punch,Creative,Midnight Black,4,BK246442,CLVAP
17,OOLU8501238,MA3VVPW81SA527830,Maruti Suzuki,Dzire,VXI,Magma Grey,1,BK242313,ZADUR
18,OOLU8501238,MALSUL1G9SC217572,Hyundai,Creta,SX(O),Silky Silver,2,BK242313,ZADUR
19,OOLU8501238,MALWVZ0X2SA893134,Hyundai,Creta,SX(O),Pearl Arctic White,3,BK242313,ZADUR
20,OOLU8501238,MALV7Y4H5SM921767,Hyundai,Creta,SX(O),Nexa Blue,4,BK242313,ZADUR
21,SEGU4507796,MA1PYRX98SC949478,Mahindra,XUV 3XO,AX7L,Nexa Blue,1,BK247805,IDJKT
22,SEGU4507796,MA3D88BV0SG890931,Maruti Suzuki,Baleno,Alpha,Nexa Blue,2,BK247805,IDJKT
23,SEGU4507796,MA3Z24NG2SA084329,Maruti Suzuki,Swift,ZXI Plus,Fire Red,3,BK247805,IDJKT
24,SEGU4507796,MA34U5VGXSG970664,Maruti Suzuki,Baleno,Alpha,Magma Grey,4,BK247805,IDJKT
